,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,dominant_topic
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.52,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.41,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0
1,0.1,0.1,0.1,0.1,0.1,0.29,0.1,0.1,5
1,0.29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
1,0.29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
1,0.1,0.1,0.1,0.1,0.1,0.29,0.1,0.1,5
1,0.1,0.1,0.1,0.1,0.1,0.1,0.28,0.1,6
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.06,0.06,0.06,0.59,0.06,0.06,0.06,0.06,3
1,0.06,0.06,0.59,0.06,0.06,0.06,0.06,0.06,2
1,0.06,0.06,0.06,0.06,0.06,0.06,0.59,0.06,6
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.07,0.07,0.07,0.07,0.49,0.07,0.07,0.07,4
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
